Timestamp,Company,Symbol,Price,Change,%Change,Volume,Market Cap (B)
2025-04-07 00:43:28.701015,Reliance,RELIANCE,2826.03,-23.51,-0.83,2757660,7.29
2025-04-07 00:44:28.701015,Bajaj Finance,BAJFINANCE,1159.67,17.5,1.53,4847266,3.53
2025-04-07 00:45:28.701015,HDFC Bank,HDFCBANK,1011.04,45.35,4.7,1337248,1.18
2025-04-07 00:46:28.701015,ICICI Bank,ICICIBANK,895.76,19.09,2.18,1318722,9.56
2025-04-07 00:47:28.701015,Reliance,RELIANCE,1277.97,-12.91,-1.0,3539392,3.88
2025-04-07 00:48:28.701015,Kotak Bank,KOTAKBANK,791.86,40.13,5.34,1420884,1.66
2025-04-07 00:49:28.701015,ICICI Bank,ICICIBANK,1117.65,-0.52,-0.05,2765573,8.4
2025-04-07 00:50:28.701015,Axis Bank,AXISBANK,2483.13,-26.84,-1.07,3139567,2.34
2025-04-07 00:51:28.701015,Kotak Bank,KOTAKBANK,1226.22,-39.28,-3.1,1792632,1.14
2025-04-07 00:52:28.701015,Axis Bank,AXISBANK,2509.84,18.54,0.74,2044478,6.45
2025-04-07 00:53:28.701015,TCS,TCS,1462.73,49.75,3.52,1549176,9.5
2025-04-07 00:54:28.701015,TCS,TCS,834.75,-22.55,-2.63,742382,4.09
2025-04-07 00:55:28.701015,Bajaj Finance,BAJFINANCE,1403.28,-45.66,-3.15,2163785,8.45
2025-04-07 00:56:28.701015,Reliance,RELIANCE,433.3,41.04,10.46,3865027,1.68
2025-04-07 00:57:28.701015,Wipro,WIPRO,1278.65,48.68,3.96,2015222,2.57
2025-04-07 00:58:28.701015,HCL,HCLTECH,2882.24,17.81,0.62,3191173,1.84
2025-04-07 00:59:28.701015,ICICI Bank,ICICIBANK,1099.48,7.55,0.69,1717773,8.51
2025-04-07 01:00:28.701015,ICICI Bank,ICICIBANK,287.51,23.91,9.07,3456635,2.72
2025-04-07 01:01:28.701015,Kotak Bank,KOTAKBANK,953.12,-43.61,-4.38,2638896,9.97
2025-04-07 01:02:28.701015,HCL,HCLTECH,1897.2,8.07,0.43,2492728,9.07
2025-04-07 01:03:28.701015,ICICI Bank,ICICIBANK,832.75,12.08,1.47,1317749,2.5
2025-04-07 01:04:28.701015,ICICI Bank,ICICIBANK,2245.53,-12.28,-0.54,1794801,6.37
2025-04-07 01:05:28.701015,TCS,TCS,680.52,25.09,3.83,3172479,7.99
2025-04-07 01:06:28.701015,Infosys,INFY,346.08,-16.55,-4.56,4368853,8.62
2025-04-07 01:07:28.701015,Infosys,INFY,814.88,20.13,2.53,4168740,6.37
2025-04-07 01:08:28.701015,Infosys,INFY,991.28,-34.52,-3.37,4249875,6.82
2025-04-07 01:09:28.701015,TCS,TCS,652.7,-42.68,-6.14,2863075,1.22
2025-04-07 01:10:28.701015,Axis Bank,AXISBANK,1209.93,11.84,0.99,4760105,7.1
2025-04-07 01:11:28.701015,Wipro,WIPRO,2797.18,43.39,1.58,2273471,3.32
2025-04-07 01:12:28.701015,ICICI Bank,ICICIBANK,1853.99,29.34,1.61,925223,2.38
2025-04-07 01:13:28.701015,TCS,TCS,1571.44,34.77,2.26,2873609,6.69
2025-04-07 01:14:28.701015,Bajaj Finance,BAJFINANCE,1992.06,33.52,1.71,3611825,5.14
2025-04-07 01:15:28.701015,ICICI Bank,ICICIBANK,940.66,26.16,2.86,3384300,8.22
2025-04-07 01:16:28.701015,HCL,HCLTECH,1828.37,-32.9,-1.77,955425,6.97
2025-04-07 01:17:28.701015,Wipro,WIPRO,2675.28,1.89,0.07,47467,6.95
2025-04-07 01:18:28.701015,Infosys,INFY,2674.09,-36.5,-1.35,939646,6.91
2025-04-07 01:19:28.701015,HDFC Bank,HDFCBANK,2706.58,-28.3,-1.03,4942974,6.85
2025-04-07 01:20:28.701015,Reliance,RELIANCE,1045.15,22.46,2.2,488813,5.1
2025-04-07 01:21:28.701015,Kotak Bank,KOTAKBANK,830.87,9.38,1.14,3796706,7.48
2025-04-07 01:22:28.701015,Wipro,WIPRO,1039.57,-28.0,-2.62,3860870,3.87
2025-04-07 01:23:28.701015,Reliance,RELIANCE,1300.6,3.81,0.29,4097239,7.62
2025-04-07 01:24:28.701015,TCS,TCS,941.66,-8.17,-0.86,2204189,6.32
2025-04-07 01:25:28.701015,HCL,HCLTECH,1357.93,-31.31,-2.25,608122,1.76
2025-04-07 01:26:28.701015,Infosys,INFY,1666.9,31.6,1.93,2188788,3.55
2025-04-07 01:27:28.701015,Axis Bank,AXISBANK,1340.59,-32.42,-2.36,342414,4.97
2025-04-07 01:28:28.701015,Reliance,RELIANCE,583.57,4.58,0.79,1849336,1.16
2025-04-07 01:29:28.701015,HDFC Bank,HDFCBANK,306.08,-36.47,-10.65,3907446,6.51
2025-04-07 01:30:28.701015,HCL,HCLTECH,2474.81,31.9,1.31,2385433,6.5
2025-04-07 01:31:28.701015,HDFC Bank,HDFCBANK,1064.22,-15.3,-1.42,2714403,3.82
2025-04-07 01:32:28.701015,Kotak Bank,KOTAKBANK,2369.92,-8.19,-0.34,4197939,4.03
2025-04-07 01:33:28.701015,Wipro,WIPRO,1991.62,43.81,2.25,1395568,6.67
2025-04-07 01:34:28.701015,TCS,TCS,2055.7,41.95,2.08,2179418,8.89
2025-04-07 01:35:28.701015,HCL,HCLTECH,1647.42,-7.37,-0.45,339552,2.08
2025-04-07 01:36:28.701015,Infosys,INFY,2721.1,-2.78,-0.1,1782873,9.34
2025-04-07 01:37:28.701015,HDFC Bank,HDFCBANK,993.74,1.42,0.14,2624046,2.6
2025-04-07 01:38:28.701015,TCS,TCS,1184.61,-32.34,-2.66,2014718,3.39
2025-04-07 01:39:28.701015,Reliance,RELIANCE,2862.28,-6.55,-0.23,1985715,8.72
2025-04-07 01:40:28.701015,HDFC Bank,HDFCBANK,1186.37,-38.32,-3.13,1183066,7.11
2025-04-07 01:41:28.701015,HDFC Bank,HDFCBANK,1183.52,-28.48,-2.35,3624366,6.32
2025-04-07 01:42:28.701015,Wipro,WIPRO,1451.0,-15.2,-1.04,3863288,1.14
2025-04-07 01:43:28.701015,TCS,TCS,1016.98,-11.8,-1.15,4246757,8.5
2025-04-07 01:44:28.701015,Infosys,INFY,2114.19,-45.45,-2.1,2513189,2.62
2025-04-07 01:45:28.701015,HCL,HCLTECH,2011.81,-28.86,-1.41,2844692,9.09
2025-04-07 01:46:28.701015,Infosys,INFY,2635.06,-2.7,-0.1,315585,8.71
2025-04-07 01:47:28.701015,Infosys,INFY,2635.08,45.35,1.75,3440106,3.32
2025-04-07 01:48:28.701015,Reliance,RELIANCE,996.77,30.18,3.12,2166445,4.59
2025-04-07 01:49:28.701015,Bajaj Finance,BAJFINANCE,1516.11,-36.88,-2.37,3875115,3.57
2025-04-07 01:50:28.701015,TCS,TCS,2439.05,27.6,1.14,890619,3.01
2025-04-07 01:51:28.701015,Axis Bank,AXISBANK,1142.8,4.71,0.41,4234542,1.81
2025-04-07 01:52:28.701015,ICICI Bank,ICICIBANK,2580.72,25.03,0.98,466436,9.39
2025-04-07 01:53:28.701015,HDFC Bank,HDFCBANK,2463.38,-7.49,-0.3,4310982,4.38
2025-04-07 01:54:28.701015,Reliance,RELIANCE,1281.64,-3.02,-0.24,1122014,2.04
2025-04-07 01:55:28.701015,Bajaj Finance,BAJFINANCE,984.68,35.7,3.76,4468993,8.42
2025-04-07 01:56:28.701015,ICICI Bank,ICICIBANK,1533.62,43.88,2.95,3134726,5.71
2025-04-07 01:57:28.701015,ICICI Bank,ICICIBANK,351.94,4.02,1.16,3197024,5.99
2025-04-07 01:58:28.701015,HDFC Bank,HDFCBANK,2839.22,-47.0,-1.63,1014409,5.87
2025-04-07 01:59:28.701015,Bajaj Finance,BAJFINANCE,2485.42,30.33,1.24,1065408,9.08
2025-04-07 02:00:28.701015,TCS,TCS,2644.24,-21.37,-0.8,2498211,8.48
2025-04-07 02:01:28.701015,Axis Bank,AXISBANK,869.3,27.13,3.22,2670596,5.62
2025-04-07 02:02:28.701015,HCL,HCLTECH,1634.5,8.14,0.5,2689056,1.82
2025-04-07 02:03:28.701015,Bajaj Finance,BAJFINANCE,2911.49,-39.68,-1.34,1514115,3.02
2025-04-07 02:04:28.701015,Wipro,WIPRO,2347.78,-11.26,-0.48,133252,1.59
2025-04-07 02:05:28.701015,Wipro,WIPRO,2771.83,-8.02,-0.29,2835514,8.94
2025-04-07 02:06:28.701015,HCL,HCLTECH,251.23,-29.06,-10.37,3364704,9.95
2025-04-07 02:07:28.701015,HCL,HCLTECH,1977.39,49.19,2.55,4660193,1.27
2025-04-07 02:08:28.701015,Wipro,WIPRO,337.46,43.52,14.81,181037,2.2
2025-04-07 02:09:28.701015,HDFC Bank,HDFCBANK,629.11,22.66,3.74,3504656,3.99
2025-04-07 02:10:28.701015,Infosys,INFY,474.97,12.14,2.62,1654769,2.35
2025-04-07 02:11:28.701015,TCS,TCS,1732.91,12.66,0.74,712613,5.08
2025-04-07 02:12:28.701015,Axis Bank,AXISBANK,775.54,34.29,4.63,4864362,9.04
2025-04-07 02:13:28.701015,Bajaj Finance,BAJFINANCE,2491.03,28.21,1.15,2782304,3.04
